"Jaar indiening","Project Besluit VVO Type","Gebouw Functie kort","Handeling","[Project Indiening Datum.autoCalendar.Quarter]","Aantal projecten","Aantal gebouwen","Aantal gebouwen (met gebouwinfo)","Aantal wooneenheden","Aantal (studenten)kamers","Nuttige woonoppervlakte (m²)","Nuttige oppervlakte kamerwoningen (m²)","Bovengronds nuttige oppervlakte (m²)","Bovengronds grond oppervlakte (m²)","Gesloopte oppervlakte (m²)","Gesloopte volume (m³)"
"2018","Gemeente","meergezinswoning","Verbouwen of hergebruik","Q2","521","535","535","2.474","0","427.773,90","0","422.031,13","251.246,23","0,00","0,00"
"2018","-","meergezinswoning","Nieuwbouw","Q2","205","267","267","2.846","0","485.835,01","0","426.780,96","142.443,78","0,00","0,00"
"2018","-","meergezinswoning","Nieuwbouw","Q4","266","348","348","4.125","0","541.897,03","0","742.559,66","437.745,65","0,00","0,00"
"2018","Gemeente","meergezinswoning","Nieuwbouw","Q1","270","319","319","2.538","0","542.285,86","0","379.471,95","108.301,17","0,00","0,00"
"2018","Gemeente","eengezinswoning","Verbouwen of hergebruik","Q1","2.307","2.394","2.398","2.231","0","781.111,88","0","751.529,68","535.608,55","0,00","0,00"
"2018","Gemeente","eengezinswoning","Verbouwen of hergebruik","Q3","2.648","3.037","3.042","2.836","0","782.309,36","0","821.826,91","643.443,75","0,00","0,00"
"2018","Gemeente","eengezinswoning","Nieuwbouw","Q1","1.560","2.122","2.122","2.041","0","791.826,68","0","786.728,07","442.950,76","0,00","0,00"
"2018","Gemeente","meergezinswoning","Nieuwbouw","Q2","544","637","637","5.232","0","937.068,59","0","1.292.219,99","503.827,39","0,00","0,00"
"2018","Gemeente","meergezinswoning","Nieuwbouw","Q3","525","630","630","5.771","0","951.787,13","0","872.410,29","749.682,55","0,00","0,00"
"2018","Gemeente","eengezinswoning","Verbouwen of hergebruik","Q4","3.498","3.662","3.669","3.451","0","976.656,89","0","917.869,72","568.523,58","0,00","0,00"
"2018","Gemeente","eengezinswoning","Nieuwbouw","Q3","2.515","3.617","3.617","3.513","0","994.675,61","0","1.010.412,40","516.650,34","0,00","0,00"
"2018","Gemeente","eengezinswoning","Verbouwen of hergebruik","Q2","3.130","3.452","3.455","3.247","0","1.056.513,11","0","1.446.173,84","565.614,52","0,00","0,00"
"2018","Gemeente","meergezinswoning","Nieuwbouw","Q4","708","829","829","7.631","0","1.122.854,54","0","1.258.712,44","827.977,38","0,00","0,00"
"2018","Gemeente","eengezinswoning","Nieuwbouw","Q4","3.708","5.514","5.514","5.373","0","1.323.141,75","0","1.292.207,98","833.547,74","0,00","0,00"
"2018","Gemeente","eengezinswoning","Nieuwbouw","Q2","2.795","3.825","3.825","3.690","0","1.444.780,27","0","1.142.302,42","915.105,17","0,00","0,00"
"2019","Gemeente","kamerwoning","Nieuwbouw","Q3","7","7","7","0","73","0,00","49.776","163.886,50","106.678,73","0,00","0,00"
"2019","Gemeente","kamerwoning","Nieuwbouw","Q2","3","4","4","0","100","0,00","27.816","3.894,70","1.875,63","0,00","0,00"
"2019","Gemeente","kamerwoning","Verbouwen of hergebruik","Q3","28","32","32","0","476","0,00","20.826","16.982,50","6.739,22","0,00","0,00"
"2019","-","eengezins- en kamerwoning","Nieuwbouw","Q3","2","2","2","0","622","0,00","19.506","20.022,00","1.230,00","0,00","0,00"
"2019","-","kamerwoning","Nieuwbouw","Q3","6","6","6","0","158","0,00","18.451","21.523,03","3.806,47","0,00","0,00"
"2019","Gemeente","kamerwoning","Verbouwen of hergebruik","Q4","39","39","39","0","1.477","0,00","15.491","22.723,22","12.138,29","0,00","0,00"
"2019","-","kamerwoning","Nieuwbouw","Q4","3","4","4","0","589","0,00","15.349","345.975,78","105.434,29","0,00","0,00"
"2019","Gemeente","eengezins- en kamerwoning","Nieuwbouw","Q4","2","2","2","0","315","0,00","9.867","10.099,36","693,70","0,00","0,00"
"2019","Gemeente","kamerwoning","Nieuwbouw","Q4","13","13","13","0","286","0,00","8.977","11.877,81","4.627,53","0,00","0,00"
"2019","Gemeente","kamerwoning","Verbouwen of hergebruik","Q1","29","29","29","0","227","0,00","7.092","7.740,10","4.094,51","0,00","0,00"
"2019","Provincie","kamerwoning","Verbouwen of hergebruik","Q4","3","3","3","0","186","0,00","7.069","6.983,75","2.534,22","0,00","0,00"
"2019","Gemeente","kamerwoning","Verbouwen of hergebruik","Q2","34","35","35","0","340","0,00","6.140","7.793,85","3.934,27","0,00","0,00"
"2019","Gemeente","eengezins- en kamerwoning","Verbouwen of hergebruik","Q4","10","10","10","0","42","0,00","4.113","1.968,85","1.608,39","0,00","0,00"
"2019","Provincie","kamerwoning","Nieuwbouw","Q4","4","6","6","0","168","0,00","3.302","6.654,78","2.454,61","0,00","0,00"
"2019","-","kamerwoning","Verbouwen of hergebruik","Q4","8","8","8","0","110","0,00","3.167","3.336,50","1.338,40","0,00","0,00"
"2019","-","kamerwoning","Verbouwen of hergebruik","Q2","8","9","9","0","120","0,00","2.785","6.120,63","2.308,89","0,00","0,00"
"2019","-","kamerwoning","Nieuwbouw","Q2","3","3","3","0","98","0,00","2.437","3.667,68","1.308,00","0,00","0,00"
"2019","Provincie","kamerwoning","Verbouwen of hergebruik","Q3","4","4","4","0","110","0,00","2.100","2.038,09","920,04","0,00","0,00"
"2019","-","kamerwoning","Verbouwen of hergebruik","Q3","5","5","5","0","36","0,00","1.743","568,10","1.519,43","0,00","0,00"
"2019","Gemeente","eengezins- en kamerwoning","Verbouwen of hergebruik","Q3","14","14","14","0","38","0,00","1.627","4.619,83","2.535,42","0,00","0,00"
"2019","-","kamerwoning","Verbouwen of hergebruik","Q1","7","7","7","0","40","0,00","1.256","1.348,21","1.020,70","0,00","0,00"
"2019","Gemeente","eengezins- en kamerwoning","Verbouwen of hergebruik","Q2","14","14","14","0","21","0,00","1.102","2.181,65","814,12","0,00","0,00"
"2019","Gemeente","kamerwoning","Nieuwbouw","Q1","4","4","4","0","12","0,00","915","920,96","400,84","0,00","0,00"
"2019","RVVB","kamerwoning","Verbouwen of hergebruik","Q2","1","2","2","0","34","0,00","891","1.578,00","530,00","0,00","0,00"
