jaar,niscode,aantal_huishoudleden,aantal
2010,46025,3,1846
2010,46025,4+,2468
2010,71002,1,720
2010,71002,2,1084
2010,71002,3,579
2010,71002,4+,722
2010,71004,1,3602
2010,71004,2,5491
2010,71004,3,3049
2010,71004,4+,4150
2010,71011,1,1766
2010,71011,2,2565
2010,71011,3,1311
2010,71011,4+,1642
2010,71016,1,6467
2010,71016,2,7420
2010,71016,3,4208
2010,71016,4+,6487
2010,71017,1,735
2010,71017,2,1157
2010,71017,3,634
2010,71017,4+,707
2010,71020,1,868
2010,71020,2,1319
2010,71020,3,684
2010,71020,4+,786
2010,71022,1,11439
2010,71022,2,11166
2010,71022,3,4692
2010,71022,4+,5484
2010,71024,1,1153
2010,71024,2,1758
2010,71024,3,890
2010,71024,4+,1102
2010,71034,1,1750
2010,71034,2,2227
2010,71034,3,1019
2010,71034,4+,1236
2010,71037,1,1254
2010,71037,2,2138
2010,71037,3,1010
2010,71037,4+,1295
2010,71045,1,650
2010,71045,2,946
2010,71045,3,544
2010,71045,4+,574
2010,71053,1,5263
2010,71053,2,5775
2010,71053,3,2880
2010,71053,4+,2962
2010,71057,1,1789
2010,71057,2,2657
2010,71057,3,1334
2010,71057,4+,1492
2010,71066,1,1783
2010,71066,2,2762
2010,71066,3,1548
2010,71066,4+,1881
2010,71067,1,611
2010,71067,2,979
2010,71067,3,535
2010,71067,4+,641
2010,71069,1,894
2010,71069,2,1570
2010,71069,3,749
2010,71069,4+,890
2010,71070,1,2598
2010,71070,2,3831
2010,71070,3,2170
2010,71070,4+,3195
2010,72003,1,1078
2010,72003,2,1804
2010,72003,3,827
2010,72003,4+,1230
2010,72004,1,1588
2010,72004,2,2104
2010,72004,3,1028
2010,72004,4+,1401
2010,72018,1,897
2010,72018,2,1610
2010,72018,3,865
2010,72018,4+,1250
2010,72020,1,3127
2010,72020,2,4902
2010,72020,3,2126
2010,72020,4+,3052
2010,72021,1,2676
2010,72021,2,3488
2010,72021,3,1726
2010,72021,4+,2188
2010,72030,1,1425
2010,72030,2,2133
2010,72030,3,1084
2010,72030,4+,1601
2010,72037,1,1409
2010,72037,2,2090
2010,72037,3,801
2010,72037,4+,1332
2010,72038,1,1069
2010,72038,2,1703
2010,72038,3,730
2010,72038,4+,1167
2010,72039,1,2380
2010,72039,2,3538
2010,72039,3,2078
2010,72039,4+,3116
2010,72041,1,1722
2010,72041,2,2698
2010,72041,3,1484
2010,72041,4+,1795
2010,72042,1,1760
2010,72042,2,2943
2010,72042,3,1625
2010,72042,4+,2345
2010,72043,1,2940
2010,72043,2,4456
2010,72043,3,1971
2010,72043,4+,2845
2010,73001,1,977
2010,73001,2,1519
2010,73001,3,827
2010,73001,4+,1071
2010,73006,1,3154
2010,73006,2,4067
2010,73006,3,2199
2010,73006,4+,2836
2010,73009,1,1034
2010,73009,2,1520
2010,73009,3,800
2010,73009,4+,859
2010,73022,1,669
2010,73022,2,972
2010,73022,3,611
2010,73022,4+,574
2010,73028,1,10
2010,73028,2,6
2010,73028,3,9
2010,73028,4+,7
2010,73032,1,892
2010,73032,2,1288
2010,73032,3,721
2010,73032,4+,877
2010,73040,1,724
2010,73040,2,1111
2010,73040,3,677
2010,73040,4+,752
2010,73042,1,2861
2010,73042,2,3828
2010,73042,3,1807
2010,73042,4+,2073
2010,73066,1,1590
2010,73066,2,2249
2010,73066,3,1235
2010,73066,4+,1417
2010,73083,1,3728
2010,73083,2,4389
2010,73083,3,2334
2010,73083,4+,2306
2010,73098,1,650
2010,73098,2,1057
2010,73098,3,604
2010,73098,4+,627
2010,73107,1,3659
2010,73107,2,4569
2010,73107,3,2706
2010,73107,4+,3494
2010,73109,1,406
2010,73109,2,591
2010,73109,3,288
2010,73109,4+,376
2011,11001,1,1392
2011,11001,2,2376
2011,11001,3,889
2011,11001,4+,1196
2011,11002,1,103787
2011,11002,2,64959
2011,11002,3,25827
2011,11002,4+,36132
2011,11004,1,1300
2011,11004,2,1733
2011,11004,3,708
2011,11004,4+,1237
2011,11005,1,2508
2011,11005,2,2389
2011,11005,3,1072
2011,11005,4+,1337
2011,11007,1,1490
2011,11007,2,1670
2011,11007,3,672
2011,11007,4+,736
2011,11008,1,4452
2011,11008,2,5662
2011,11008,3,2340
2011,11008,4+,3135
2011,11009,1,2346
2011,11009,2,4034
2011,11009,3,1822
2011,11009,4+,2642
2011,11013,1,2925
2011,11013,2,3289
2011,11013,3,1252
2011,11013,4+,1708
2011,11016,1,1693
2011,11016,2,2494
2011,11016,3,1110
2011,11016,4+,1756
2011,11018,1,1223
2011,11018,2,1518
2011,11018,3,690
2011,11018,4+,877
2011,11021,1,757
2011,11021,2,1119
2011,11021,3,415
2011,11021,4+,859
2011,11022,1,1664
2011,11022,2,2552
2011,11022,3,1021
2011,11022,4+,1765
2011,11023,1,2813
2011,11023,2,4015
2011,11023,3,1660
2011,11023,4+,2333
2011,11024,1,2110
2011,11024,2,2957
2011,11024,3,1242
2011,11024,4+,1974
2011,11025,1,660
2011,11025,2,1154
2011,11025,3,565
2011,11025,4+,857
2011,11029,1,3813
2011,11029,2,3423
2011,11029,3,1401
2011,11029,4+,2135
2011,11030,1,1162
2011,11030,2,1343
2011,11030,3,714
